2012-01-10	6000.00		2589373	备注：此款还到 [马涛的现金]
2012-01-10		6000.00	2589144	备注：从 [光大阳光卡] 中借出
2011-12-01	13000.00		2364680	备注：此款还到 [马涛的现金]
2011-11-28	300.00		2364734	备注：此款还到 [马涛的现金]
2011-11-28		300.00	2364725	备注：从 [光大阳光卡] 中借出
2011-11-10		15000.00	2269217	备注：从 [光大阳光卡] 中借出
2011-11-10	2000.00		2269210	备注：此款还到 [马涛的现金]
2011-11-09		32000.00	2267291	备注：从 [光大阳光卡] 中借出
2011-11-09	14000.00		2267279	备注：此款还到 [马涛的现金]
2011-11-09	18000.00		2267276	备注：此款还到 [马涛的现金]
2011-09-07		3000.00	2116570	备注：从 [光大阳光卡] 中借出
2011-09-07	3000.00		2116556	备注：此款还到 [光大阳光卡]
2011-08-02		5000.00	2003285	备注：从 [光大阳光卡] 中借出 史剑秋
2011-08-02	5000.00		2003267	备注：此款还到 [光大阳光卡]
2011-06-10		10000.00	1871752	备注：从 [光大阳光卡] 中借出
2011-06-10	20000.00		1871744	备注：此款还到 [马涛的现金]
2011-06-09		40000.00	1871748	备注：从 [光大阳光卡] 中借出
2011-06-09	30000.00		1868277	备注：此款还到 [马涛的现金]
2011-04-29		50000.00	1765779	备注：从 [光大阳光卡] 中借出
2011-04-29	50000.00		1765745	备注：此款还到 [马涛的现金]
2011-04-25	800.00		1765743	备注：此款还到 [马涛的现金]
2011-04-22	300.00		1746816	备注：此款还到 [马涛的现金] 退押金
2011-04-20		1100.00	1735109	备注：从 [马涛的现金] 中借出 代付西西友谊
2011-03-08	5000.00		1597313	备注：此款还到 [马涛的现金]
2011-03-08		5000.00	1597282	备注：从 [光大阳光卡] 中借出
